"id","title","shorttitle","icon16x16","href","_blank","appid","itemtype","req_context_item_id","act_type"
"VC10","Atención a clientes","Clientes","","/!/vendesk/cliente/","0","vendesk.cliente","DET014","0","action"
"VC11","Agregar nota al cliente","Nota","","/!/vendesk/cliente/_detail/?_key=@_src_context_item_id","0","vendesk.cliente","DET014","1","action"
"VC12","Registrar atención","Registrar","","/!/vendesk/cliente/_detail/?_key=@_src_context_item_id&i=aten","0","vendesk.cliente","DET014","1","action"
"VC21","Crear caso","Crear caso","","/!/vendesk/cliente/","0","vendesk.cliente","DET014","0","action"
"VC30","Administración de casos ","Administración caso","","/!/vendesk/cliente/_admin/","0","vendesk.cliente","DET014","0","action"
"VC40","Administración de tipos de casos","Administración tipos","","/!/vendesk/cliente/_admin/","0","vendesk.cliente","DET014","0","action"
"VC50","Administración de prioridades de casos","Administración prio.","","/!/vendesk/cliente/_admin/","0","vendesk.cliente","DET014","0","action"
"VC60","Configurar notificaciones de atención a clientes","config notif","","/!/vendesk/notif/","0","vendesk.cliente","DET014","0","action"
"VC61","Asignar Notificación","vendesk","","","0","vendesk.cliente","DET014","1","action"
"VC13","Activar alertas","Activar alerta","","","0","vendesk.cliente","DET014","1","action"
"VC14","Desactivar alertas","desc. alerta","","","0","vendesk.cliente","DET014","1","action"
"VC22","Editar caso","Editar caso","","","0","vendesk.cliente","DET014","1","action"
"VC23","Anexar notas a un caso","Agregar nota","","","0","vendesk.cliente","DET014","1","action"
"VC24","Adjuntar archivos a un caso","Adjuntar","","","0","vendesk.cliente","DET014","1","action"
"VC25","Eliminar archivos adjuntos a un caso","Eliminar adjunto","","","0","vendesk.cliente","DET014","1","action"
"VC26","Cerrar caso","Cerrar caso","","","0","vendesk.cliente","DET014","1","action"
"VC27","Re-abrir caso","Reabrir caso","","","0","vendesk.cliente","DET014","1","action"

"VC70","Configurar pipelines","Pipelines","","/!/vendesk/sales_pipeline/?ps=1","0","vendesk.pipelines","DET01C","0","shortcut"
"VC71","Agregar pipelines","Agregar","","","0","vendesk.pipelines","DET01C","1","action"
"VC72","Editar pipelines","Editar","","","0","vendesk.pipelines","DET01C","1","action"
"VC73","Eliminar pipelines","Eliminar","","","0","vendesk.pipelines","DET01C","1","action"

"VC80","Gestión de prospectos","Prospectos","","/!/vendesk/prospecto/","0","vendesk.prospectos","DET01C","0","shortcut"
"VC81","Agregar prospecto","Agregar","","/!/vendesk/prospecto/_new/","0","vendesk.prospectos","DET01C","0","action"
"VC82","Editar prospecto","Editar","","/!/vendesk/prospecto/@_src_context_item_id/","0","vendesk.prospectos","DET01C","1","action"
"VC83","Eliminar prospecto","Eliminar","","javascript:InduxsoftCrudlModel.Delete(@_src_context_item_id);","0","vendesk.prospectos","DET01C","1","action"